age,sex,class,survived
Adult,Female,1st,1
Adult,Female,3rd,0
Child,Male,3rd,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,2nd,0
Child,Female,2nd,1
Adult,Male,3rd,1
Child,Male,3rd,0
Adult,Male,Crew,1
Adult,Male,3rd,1
Adult,Male,3rd,0
Adult,Male,Crew,1
Child,Female,3rd,0
Adult,Male,1st,1
Adult,Male,2nd,0
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Female,2nd,0
Adult,Male,2nd,0
Adult,Female,3rd,0
Adult,Male,1st,0
Adult,Female,3rd,0
Adult,Male,2nd,0
Adult,Male,3rd,0
Adult,Male,1st,1
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,1st,1
Adult,Male,2nd,0
Adult,Female,3rd,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Male,2nd,1
Child,Female,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,1st,1
Adult,Male,3rd,0
Adult,Male,2nd,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Female,3rd,0
Adult,Male,Crew,0
Child,Female,3rd,0
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Male,3rd,1
Adult,Male,Crew,NA
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,1st,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Female,1st,1
Adult,Female,1st,1
Adult,Female,1st,1
Adult,Female,1st,1
Adult,Male,1st,0
Adult,Female,2nd,1
Adult,Male,2nd,0
Adult,Male,Crew,1
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,3rd,NA
Adult,Female,2nd,1
Adult,Male,Crew,0
Child,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,3rd,0
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Female,2nd,NA
Adult,Female,Crew,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Female,1st,1
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Male,3rd,0
Adult,Female,3rd,1
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,1st,1
Adult,Male,1st,1
Adult,Male,3rd,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,Crew,1
Child,Male,3rd,0
Adult,Male,Crew,0
Child,Male,3rd,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Child,Female,3rd,0
Adult,Male,3rd,0
Adult,Female,1st,1
Adult,Female,3rd,1
Adult,Male,3rd,0
Adult,Female,2nd,1
Adult,Male,1st,0
Child,Male,3rd,0
Adult,Female,3rd,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Child,Male,2nd,1
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,3rd,1
Adult,Male,Crew,1
Adult,Male,Crew,1
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Female,2nd,0
Adult,Male,3rd,NA
Adult,Male,1st,0
Adult,Female,2nd,1
Adult,Female,2nd,1
Adult,Male,2nd,0
Adult,Male,Crew,1
Adult,Male,Crew,1
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,NA
Adult,Male,Crew,0
Adult,Female,1st,1
Child,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,1st,0
Adult,Male,Crew,1
Adult,Male,3rd,1
Adult,Male,1st,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,1
Adult,Male,Crew,1
Adult,Male,Crew,1
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,3rd,1
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,3rd,0
Adult,Male,2nd,0
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Female,2nd,1
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,3rd,NA
Adult,Female,3rd,NA
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,1st,NA
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,1st,1
Adult,Male,2nd,1
Adult,Male,2nd,0
Adult,Male,3rd,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,NA
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,1st,1
Adult,Male,3rd,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Child,Female,3rd,1
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,1st,NA
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,3rd,1
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,1
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Child,Male,2nd,1
Adult,Male,Crew,0
Adult,Male,2nd,0
Child,Male,3rd,1
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Female,1st,1
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Female,1st,1
Adult,Male,Crew,1
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Female,Crew,1
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Child,Female,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,3rd,1
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Child,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,3rd,0
Adult,Male,1st,1
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,2nd,NA
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Female,3rd,1
Adult,Male,3rd,NA
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,3rd,1
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,2nd,1
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Female,2nd,1
Adult,Female,1st,1
Child,Female,3rd,1
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Male,1st,1
Adult,Female,1st,NA
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Female,1st,1
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Female,3rd,1
Child,Male,3rd,1
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,3rd,1
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Female,Crew,1
Adult,Female,3rd,0
Adult,Male,Crew,NA
Adult,Male,Crew,0
Child,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,3rd,NA
Adult,Female,1st,NA
Adult,Male,Crew,0
Adult,Male,Crew,0
Child,Male,3rd,0
Adult,Male,3rd,0
Adult,Female,1st,1
Adult,Male,3rd,0
Child,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,2nd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,1st,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,1st,NA
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Female,1st,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Child,Male,2nd,NA
Adult,Male,Crew,0
Adult,Male,Crew,0
Child,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,2nd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Female,2nd,1
Adult,Male,Crew,0
Child,Male,3rd,1
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,3rd,1
Adult,Female,2nd,NA
Adult,Male,Crew,0
Child,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,1
Adult,Female,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Child,Female,2nd,1
Adult,Male,2nd,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,3rd,1
Adult,Female,2nd,1
Adult,Male,3rd,1
Adult,Male,Crew,1
Adult,Male,3rd,1
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Female,3rd,1
Adult,Male,3rd,0
Child,Male,3rd,0
Adult,Female,3rd,0
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,2nd,0
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Female,1st,1
Adult,Male,2nd,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,3rd,NA
Child,Female,3rd,0
Adult,Female,1st,1
Adult,Male,Crew,0
Child,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,1st,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Female,2nd,1
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,Crew,NA
Adult,Female,Crew,1
Adult,Male,3rd,0
Adult,Male,Crew,1
Adult,Female,2nd,1
Adult,Male,3rd,1
Adult,Male,1st,1
Adult,Female,1st,1
Adult,Female,2nd,1
Adult,Male,Crew,NA
Adult,Male,Crew,0
Adult,Male,1st,1
Adult,Male,2nd,0
Adult,Male,Crew,1
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Male,Crew,NA
Adult,Male,Crew,1
Child,Male,3rd,1
Adult,Male,3rd,0
Adult,Male,1st,0
Adult,Female,3rd,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Female,1st,1
Adult,Male,1st,1
Adult,Male,1st,0
Adult,Male,2nd,0
Adult,Male,3rd,0
Adult,Male,3rd,1
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Female,1st,1
Adult,Female,1st,1
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,Crew,1
Adult,Female,2nd,0
Adult,Male,Crew,1
Adult,Male,3rd,0
Adult,Male,2nd,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Child,Male,1st,1
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,1st,1
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Female,2nd,1
Adult,Female,2nd,1
Adult,Male,3rd,0
Adult,Male,3rd,NA
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,3rd,1
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,2nd,1
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,NA
Adult,Male,1st,1
Adult,Male,Crew,0
Child,Female,3rd,1
Adult,Male,Crew,0
Adult,Male,3rd,NA
Adult,Female,Crew,1
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,2nd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,1
Adult,Male,3rd,0
Child,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Child,Male,1st,NA
Adult,Female,1st,1
Adult,Male,2nd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,3rd,0
Adult,Female,2nd,1
Adult,Male,3rd,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Adult,Female,1st,1
Adult,Male,1st,0
Adult,Male,Crew,0
Adult,Female,Crew,1
Adult,Male,Crew,NA
Adult,Male,1st,0
Adult,Male,3rd,1
Adult,Male,Crew,1
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,1st,NA
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Male,1st,1
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Female,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,1
Adult,Female,1st,1
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,NA
Adult,Female,3rd,NA
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Adult,Male,2nd,0
Adult,Male,2nd,0
Adult,Male,3rd,0
Adult,Female,1st,1
Adult,Female,3rd,0
Adult,Male,3rd,1
Adult,Female,2nd,1
Adult,Male,3rd,1
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,1st,0
Adult,Male,3rd,0
Adult,Female,2nd,1
Adult,Male,Crew,NA
Adult,Male,Crew,0
Child,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Child,Female,3rd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,0
Adult,Male,Crew,0
Adult,Female,3rd,1
Adult,Male,Crew,0
Child,Male,3rd,0
Adult,Male,2nd,0
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Female,3rd,1
Adult,Female,2nd,1
Adult,Male,Crew,0
Adult,Male,3rd,0
Adult,Female,2nd,1
Adult,Male,2nd,0
Adult,Male,3rd,0
Adult,Male,Crew,0
Adult,Male,Crew,0
Child,Female,3rd,1
Adult,Male,Crew,1
Adult,Male,3rd,0
Child,Female,2nd,1
Adult,Male,Crew,1
Adult,Female,Crew,1
Adult,Male,3rd,1
Adult,Male,3rd,0
